metric,x,UEF,PICEF,FR-PICEF,FRLA
1,12,6.2,19.3,20.9,21.4
1,18,11.1,31.4,43.8,42
1,24,13,51.6,64.4,65.1
1,30,24,74.4,83.3,81.1
1,36,19.6,99.8,104.1,113.9
1,42,22.6,111.6,140.5,131.9
1,48,22.2,138.5,155.4,154.6
2,12,9.1,9.2,7.9,8.6
2,18,20.8,18.9,16.5,15
2,24,37.7,26.9,27.8,23.4
2,30,53.5,34.5,39,35.7
2,36,74.6,54.6,51.4,45.6
2,42,93,67.1,63,58.3
2,48,117.8,81.8,75.9,68
3,12,1,1.3,2.1,2.9
3,18,2.6,3.5,6.4,9.4
3,24,3.3,11.5,11.5,15.4
3,30,7.1,17.5,19.7,21.1
3,36,6,28,29.2,35
3,42,7.1,34.1,44.8,47.8
3,48,7.5,46.1,52.6,61.5
